--> PFI: 422335994 || EZI_ADD: 18 PROFESSORS WALK PARKVILLE 3052 || SRC_VERIF: 2024-12-16 || PROPSTATUS: A || GCODEFEAT: V || LOC_DESC:  || BLGUNTTYP:  || HSAUNITID:  || BUNIT_PRE1:  || BUNIT_ID1:  || BUNIT_SUF1:  || BUNIT_PRE2:  || BUNIT_ID2:  || BUNIT_SUF2:  || FLOOR_TYPE:  || FLOOR_NO_1:  || FLOOR_NO_2:  || BUILDING: OLD ARTS BUILDING 149 || COMPLEX:  || HSE_PREF1:  || HSE_NUM1: 18.0 || HSE_SUF1:  || HSE_PREF2:  || HSE_NUM2:  || HSE_SUF2:  || DISP_NUM1:  || ROAD_NAME: PROFESSORS || ROAD_TYPE: WALK || RD_SUF:  || LOCALITY: PARKVILLE || STATE: VIC || POSTCODE: 3052 || ACCESSTYPE: L || x: 144.9601284890001 || y: -37.79772154799997 ||
--> PFI: 422621986 || EZI_ADD: 230 GRATTAN STREET PARKVILLE 3052 || SRC_VERIF: 2015-08-19 || PROPSTATUS: A || GCODEFEAT: V || LOC_DESC: PART || BLGUNTTYP:  || HSAUNITID:  || BUNIT_PRE1:  || BUNIT_ID1:  || BUNIT_SUF1:  || BUNIT_PRE2:  || BUNIT_ID2:  || BUNIT_SUF2:  || FLOOR_TYPE: G || FLOOR_NO_1:  || FLOOR_NO_2:  || BUILDING:  || COMPLEX:  || HSE_PREF1:  || HSE_NUM1: 230.0 || HSE_SUF1:  || HSE_PREF2:  || HSE_NUM2:  || HSE_SUF2:  || DISP_NUM1:  || ROAD_NAME: GRATTAN || ROAD_TYPE: STREET || RD_SUF:  || LOCALITY: PARKVILLE || STATE: VIC || POSTCODE: 3052 || ACCESSTYPE: L || x: 144.960860 || y: -37.796841 ||
--> PFI: 422621989 || EZI_ADD: 230 GRATTAN STREET PARKVILLE 3052 || SRC_VERIF: 2015-08-19 || PROPSTATUS: A || GCODEFEAT: V || LOC_DESC: PART || BLGUNTTYP:  || HSAUNITID:  || BUNIT_PRE1:  || BUNIT_ID1:  || BUNIT_SUF1:  || BUNIT_PRE2:  || BUNIT_ID2:  || BUNIT_SUF2:  || FLOOR_TYPE: G || FLOOR_NO_1:  || FLOOR_NO_2:  || BUILDING:  || COMPLEX:  || HSE_PREF1:  || HSE_NUM1: 230.0 || HSE_SUF1:  || HSE_PREF2:  || HSE_NUM2:  || HSE_SUF2:  || DISP_NUM1:  || ROAD_NAME: GRATTAN || ROAD_TYPE: STREET || RD_SUF:  || LOCALITY: PARKVILLE || STATE: VIC || POSTCODE: 3052 || ACCESSTYPE: L || x: 144.960860 || y: -37.796841 ||
--> PFI: 422621992 || EZI_ADD: 230 GRATTAN STREET PARKVILLE 3052 || SRC_VERIF: 2015-08-19 || PROPSTATUS: A || GCODEFEAT: V || LOC_DESC: PART || BLGUNTTYP:  || HSAUNITID:  || BUNIT_PRE1:  || BUNIT_ID1:  || BUNIT_SUF1:  || BUNIT_PRE2:  || BUNIT_ID2:  || BUNIT_SUF2:  || FLOOR_TYPE: B || FLOOR_NO_1:  || FLOOR_NO_2:  || BUILDING: UNION HOUSE BUILDING 130 || COMPLEX:  || HSE_PREF1:  || HSE_NUM1: 230.0 || HSE_SUF1:  || HSE_PREF2:  || HSE_NUM2:  || HSE_SUF2:  || DISP_NUM1:  || ROAD_NAME: GRATTAN || ROAD_TYPE: STREET || RD_SUF:  || LOCALITY: PARKVILLE || STATE: VIC || POSTCODE: 3052 || ACCESSTYPE: L || x: 144.960860 || y: -37.796841 ||
--> PFI: 422621995 || EZI_ADD: 230 GRATTAN STREET PARKVILLE 3052 || SRC_VERIF: 2015-08-19 || PROPSTATUS: A || GCODEFEAT: V || LOC_DESC: PART || BLGUNTTYP:  || HSAUNITID:  || BUNIT_PRE1:  || BUNIT_ID1:  || BUNIT_SUF1:  || BUNIT_PRE2:  || BUNIT_ID2:  || BUNIT_SUF2:  || FLOOR_TYPE: G || FLOOR_NO_1:  || FLOOR_NO_2:  || BUILDING:  || COMPLEX:  || HSE_PREF1:  || HSE_NUM1: 230.0 || HSE_SUF1:  || HSE_PREF2:  || HSE_NUM2:  || HSE_SUF2:  || DISP_NUM1:  || ROAD_NAME: GRATTAN || ROAD_TYPE: STREET || RD_SUF:  || LOCALITY: PARKVILLE || STATE: VIC || POSTCODE: 3052 || ACCESSTYPE: L || x: 144.960860 || y: -37.796841 ||
--> PFI: 422621998 || EZI_ADD: 230 GRATTAN STREET PARKVILLE 3052 || SRC_VERIF: 2015-08-19 || PROPSTATUS: A || GCODEFEAT: V || LOC_DESC: PART || BLGUNTTYP:  || HSAUNITID:  || BUNIT_PRE1:  || BUNIT_ID1:  || BUNIT_SUF1:  || BUNIT_PRE2:  || BUNIT_ID2:  || BUNIT_SUF2:  || FLOOR_TYPE: B || FLOOR_NO_1:  || FLOOR_NO_2:  || BUILDING:  || COMPLEX:  || HSE_PREF1:  || HSE_NUM1: 230.0 || HSE_SUF1:  || HSE_PREF2:  || HSE_NUM2:  || HSE_SUF2:  || DISP_NUM1:  || ROAD_NAME: GRATTAN || ROAD_TYPE: STREET || RD_SUF:  || LOCALITY: PARKVILLE || STATE: VIC || POSTCODE: 3052 || ACCESSTYPE: L || x: 144.960860 || y: -37.796841 ||
--> PFI: 422621959 || EZI_ADD: 230 GRATTAN STREET PARKVILLE 3052 || SRC_VERIF: 2015-08-19 || PROPSTATUS: A || GCODEFEAT: V || LOC_DESC: PART || BLGUNTTYP:  || HSAUNITID:  || BUNIT_PRE1:  || BUNIT_ID1:  || BUNIT_SUF1:  || BUNIT_PRE2:  || BUNIT_ID2:  || BUNIT_SUF2:  || FLOOR_TYPE: B || FLOOR_NO_1:  || FLOOR_NO_2:  || BUILDING:  || COMPLEX:  || HSE_PREF1:  || HSE_NUM1: 230.0 || HSE_SUF1:  || HSE_PREF2:  || HSE_NUM2:  || HSE_SUF2:  || DISP_NUM1:  || ROAD_NAME: GRATTAN || ROAD_TYPE: STREET || RD_SUF:  || LOCALITY: PARKVILLE || STATE: VIC || POSTCODE: 3052 || ACCESSTYPE: L || x: 144.960860 || y: -37.796841 ||
--> PFI: 422622010 || EZI_ADD: 230 GRATTAN STREET PARKVILLE 3052 || SRC_VERIF: 2015-08-19 || PROPSTATUS: A || GCODEFEAT: V || LOC_DESC: PART || BLGUNTTYP:  || HSAUNITID:  || BUNIT_PRE1:  || BUNIT_ID1:  || BUNIT_SUF1:  || BUNIT_PRE2:  || BUNIT_ID2:  || BUNIT_SUF2:  || FLOOR_TYPE: L || FLOOR_NO_1: 2.0 || FLOOR_NO_2:  || BUILDING:  || COMPLEX:  || HSE_PREF1:  || HSE_NUM1: 230.0 || HSE_SUF1:  || HSE_PREF2:  || HSE_NUM2:  || HSE_SUF2:  || DISP_NUM1:  || ROAD_NAME: GRATTAN || ROAD_TYPE: STREET || RD_SUF:  || LOCALITY: PARKVILLE || STATE: VIC || POSTCODE: 3052 || ACCESSTYPE: L || x: 144.960860 || y: -37.796841 ||
--> PFI: 422622016 || EZI_ADD: 230 GRATTAN STREET PARKVILLE 3052 || SRC_VERIF: 2015-08-19 || PROPSTATUS: A || GCODEFEAT: V || LOC_DESC: PART || BLGUNTTYP:  || HSAUNITID:  || BUNIT_PRE1:  || BUNIT_ID1:  || BUNIT_SUF1:  || BUNIT_PRE2:  || BUNIT_ID2:  || BUNIT_SUF2:  || FLOOR_TYPE: G || FLOOR_NO_1:  || FLOOR_NO_2:  || BUILDING:  || COMPLEX:  || HSE_PREF1:  || HSE_NUM1: 230.0 || HSE_SUF1:  || HSE_PREF2:  || HSE_NUM2:  || HSE_SUF2:  || DISP_NUM1:  || ROAD_NAME: GRATTAN || ROAD_TYPE: STREET || RD_SUF:  || LOCALITY: PARKVILLE || STATE: VIC || POSTCODE: 3052 || ACCESSTYPE: L || x: 144.960860 || y: -37.796841 ||
--> PFI: 422621926 || EZI_ADD: 230 GRATTAN STREET PARKVILLE 3052 || SRC_VERIF: 2015-08-19 || PROPSTATUS: A || GCODEFEAT: V || LOC_DESC:  || BLGUNTTYP:  || HSAUNITID:  || BUNIT_PRE1:  || BUNIT_ID1:  || BUNIT_SUF1:  || BUNIT_PRE2:  || BUNIT_ID2:  || BUNIT_SUF2:  || FLOOR_TYPE: B || FLOOR_NO_1:  || FLOOR_NO_2:  || BUILDING:  || COMPLEX:  || HSE_PREF1:  || HSE_NUM1: 230.0 || HSE_SUF1:  || HSE_PREF2:  || HSE_NUM2:  || HSE_SUF2:  || DISP_NUM1:  || ROAD_NAME: GRATTAN || ROAD_TYPE: STREET || RD_SUF:  || LOCALITY: PARKVILLE || STATE: VIC || POSTCODE: 3052 || ACCESSTYPE: L || x: 144.960860 || y: -37.796841 ||
--> PFI: 422621947 || EZI_ADD: 230 GRATTAN STREET PARKVILLE 3052 || SRC_VERIF: 2015-08-19 || PROPSTATUS: A || GCODEFEAT: V || LOC_DESC: PART || BLGUNTTYP:  || HSAUNITID:  || BUNIT_PRE1:  || BUNIT_ID1:  || BUNIT_SUF1:  || BUNIT_PRE2:  || BUNIT_ID2:  || BUNIT_SUF2:  || FLOOR_TYPE: L || FLOOR_NO_1: 1.0 || FLOOR_NO_2:  || BUILDING:  || COMPLEX:  || HSE_PREF1:  || HSE_NUM1: 230.0 || HSE_SUF1:  || HSE_PREF2:  || HSE_NUM2:  || HSE_SUF2:  || DISP_NUM1:  || ROAD_NAME: GRATTAN || ROAD_TYPE: STREET || RD_SUF:  || LOCALITY: PARKVILLE || STATE: VIC || POSTCODE: 3052 || ACCESSTYPE: L || x: 144.960860 || y: -37.796841 ||
--> PFI: 422621878 || EZI_ADD: 230 GRATTAN STREET PARKVILLE 3052 || SRC_VERIF: 2016-05-17 || PROPSTATUS: A || GCODEFEAT: V || LOC_DESC: PART || BLGUNTTYP:  || HSAUNITID:  || BUNIT_PRE1:  || BUNIT_ID1:  || BUNIT_SUF1:  || BUNIT_PRE2:  || BUNIT_ID2:  || BUNIT_SUF2:  || FLOOR_TYPE: L || FLOOR_NO_1: 1.0 || FLOOR_NO_2:  || BUILDING:  || COMPLEX:  || HSE_PREF1:  || HSE_NUM1: 230.0 || HSE_SUF1:  || HSE_PREF2:  || HSE_NUM2:  || HSE_SUF2:  || DISP_NUM1:  || ROAD_NAME: GRATTAN || ROAD_TYPE: STREET || RD_SUF:  || LOCALITY: PARKVILLE || STATE: VIC || POSTCODE: 3052 || ACCESSTYPE: L || x: 144.960860 || y: -37.796841 ||
--> PFI: 428081472 || EZI_ADD: 230 GRATTAN STREET PARKVILLE 3052 || SRC_VERIF: 2018-05-11 || PROPSTATUS: A || GCODEFEAT: V || LOC_DESC: ADJACENT || BLGUNTTYP: KSK || HSAUNITID:  || BUNIT_PRE1:  || BUNIT_ID1:  || BUNIT_SUF1:  || BUNIT_PRE2:  || BUNIT_ID2:  || BUNIT_SUF2:  || FLOOR_TYPE:  || FLOOR_NO_1:  || FLOOR_NO_2:  || BUILDING:  || COMPLEX:  || HSE_PREF1:  || HSE_NUM1: 230.0 || HSE_SUF1:  || HSE_PREF2:  || HSE_NUM2:  || HSE_SUF2:  || DISP_NUM1:  || ROAD_NAME: GRATTAN || ROAD_TYPE: STREET || RD_SUF:  || LOCALITY: PARKVILLE || STATE: VIC || POSTCODE: 3052 || ACCESSTYPE: L || x: 144.962243 || y: -37.796170 ||
--> PFI: 422621968 || EZI_ADD: 230 GRATTAN STREET PARKVILLE 3052 || SRC_VERIF: 2018-05-11 || PROPSTATUS: A || GCODEFEAT: V || LOC_DESC:  || BLGUNTTYP:  || HSAUNITID:  || BUNIT_PRE1:  || BUNIT_ID1:  || BUNIT_SUF1:  || BUNIT_PRE2:  || BUNIT_ID2:  || BUNIT_SUF2:  || FLOOR_TYPE: G || FLOOR_NO_1:  || FLOOR_NO_2:  || BUILDING:  || COMPLEX:  || HSE_PREF1:  || HSE_NUM1: 230.0 || HSE_SUF1:  || HSE_PREF2:  || HSE_NUM2:  || HSE_SUF2:  || DISP_NUM1:  || ROAD_NAME: GRATTAN || ROAD_TYPE: STREET || RD_SUF:  || LOCALITY: PARKVILLE || STATE: VIC || POSTCODE: 3052 || ACCESSTYPE: L || x: 144.960860 || y: -37.796841 ||
--> PFI: 428053601 || EZI_ADD: 230 GRATTAN STREET PARKVILLE 3052 || SRC_VERIF: 2018-05-10 || PROPSTATUS: A || GCODEFEAT: V || LOC_DESC:  || BLGUNTTYP:  || HSAUNITID:  || BUNIT_PRE1:  || BUNIT_ID1:  || BUNIT_SUF1:  || BUNIT_PRE2:  || BUNIT_ID2:  || BUNIT_SUF2:  || FLOOR_TYPE:  || FLOOR_NO_1:  || FLOOR_NO_2:  || BUILDING: VISITOR CENTRE AND SHOP BUILDING 188 || COMPLEX:  || HSE_PREF1:  || HSE_NUM1: 230.0 || HSE_SUF1:  || HSE_PREF2:  || HSE_NUM2:  || HSE_SUF2:  || DISP_NUM1:  || ROAD_NAME: GRATTAN || ROAD_TYPE: STREET || RD_SUF:  || LOCALITY: PARKVILLE || STATE: VIC || POSTCODE: 3052 || ACCESSTYPE: L || x: 144.960539 || y: -37.799442 ||
--> PFI: 203495344 || EZI_ADD: 230 GRATTAN STREET PARKVILLE 3052 || SRC_VERIF: 2015-07-16 || PROPSTATUS: A || GCODEFEAT: V || LOC_DESC:  || BLGUNTTYP:  || HSAUNITID:  || BUNIT_PRE1:  || BUNIT_ID1:  || BUNIT_SUF1:  || BUNIT_PRE2:  || BUNIT_ID2:  || BUNIT_SUF2:  || FLOOR_TYPE:  || FLOOR_NO_1:  || FLOOR_NO_2:  || BUILDING:  || COMPLEX:  || HSE_PREF1:  || HSE_NUM1: 230.0 || HSE_SUF1:  || HSE_PREF2:  || HSE_NUM2:  || HSE_SUF2:  || DISP_NUM1:  || ROAD_NAME: GRATTAN || ROAD_TYPE: STREET || RD_SUF:  || LOCALITY: PARKVILLE || STATE: VIC || POSTCODE: 3052 || ACCESSTYPE: L || x: 144.961602 || y: -37.796087 ||
